,baseline_mrr,baseline_ndcg,expl_mrr,expl_ndcg,delta_mrr,delta_ndcg
q20181,0.058823529411764705,0.23981246656813146,0.1111111111111111,0.3010299956639812,0.0522875816993464,0.06121752909584974
q20182,1.0,1.0,0.02,0.17629143438888212,-0.98,-0.8237085656111178
q20183,0.0625,0.24465054211822604,0.0,0.0,-0.0625,-0.24465054211822604
q20184,0.5,0.6309297535714575,0.06666666666666667,0.25,-0.43333333333333335,-0.38092975357145753
q20185,0.0196078431372549,0.17542506358195453,0.017543859649122806,0.17070727966372012,-0.0020639834881320956,-0.004717783918234408
q20186,0.3333333333333333,0.5,0.0,0.0,-0.3333333333333333,-0.5
q20187,0.015384615384615385,0.16544255391905832,0.0,0.0,-0.015384615384615385,-0.16544255391905832
q20188,0.00546448087431694,0.13291576594181265,0.0,0.0,-0.00546448087431694,-0.13291576594181265
q20189,0.0136986301369863,0.16104477175644444,0.0,0.0,-0.0136986301369863,-0.16104477175644444
q20190,0.1,0.2890648263178879,0.014925373134328358,0.16427204996205025,-0.08507462686567165,-0.12479277635583763
q20191,0.029411764705882353,0.1949590218937863,0.0,0.0,-0.029411764705882353,-0.1949590218937863
q20192,0.09090909090909091,0.27894294565112987,0.0,0.0,-0.09090909090909091,-0.27894294565112987
q20193,0.0019011406844106464,0.11059917026610382,0.0,0.0,-0.0019011406844106464,-0.11059917026610382
q20194,0.010309278350515464,0.15117821092177644,0.0,0.0,-0.010309278350515464,-0.15117821092177644
q20195,1.0,1.0,0.14285714285714285,0.3333333333333333,-0.8571428571428572,-0.6666666666666667
q20196,0.030303030303030304,0.1965616322328226,0.037037037037037035,0.20801459767650948,0.006734006734006731,0.011452965443686874
q20197,0.05263157894736842,0.23137821315975915,0.015873015873015872,0.16666666666666666,-0.036758563074352546,-0.06471154649309249
q20198,0.1,0.2890648263178879,0.0,0.0,-0.1,-0.2890648263178879
q20199,0.2,0.38685280723454163,0.0,0.0,-0.2,-0.38685280723454163
q20200,0.06666666666666667,0.25,0.025,0.18665241123894338,-0.041666666666666664,-0.06334758876105662
q20201,0.16666666666666666,0.3562071871080222,0.018867924528301886,0.17376534287144002,-0.14779874213836477,-0.18244184423658216
q20202,1.0,1.0,0.125,0.31546487678572877,-0.875,-0.6845351232142712
q20203,1.0,1.0,0.3333333333333333,0.5,-0.6666666666666667,-0.5
q20204,0.017241379310344827,0.16999161628691403,0.0,0.0,-0.017241379310344827,-0.16999161628691403
q20205,0.5,0.6309297535714575,0.04,0.21274605355336318,-0.46,-0.41818370001809435
q20206,0.25,0.43067655807339306,0.021739130434782608,0.18003132665669264,-0.2282608695652174,-0.2506452314167004
q20207,0.09090909090909091,0.27894294565112987,0.024390243902439025,0.1854490234153689,-0.0665188470066519,-0.09349392223576097
q20208,0.1,0.2890648263178879,0.0125,0.15773243839286438,-0.08750000000000001,-0.1313323879250235
q20209,0.013333333333333334,0.16005307325482135,0.05,0.227670248696953,0.03666666666666667,0.06761717544213164
q20210,0.5,0.6309297535714575,0.0,0.0,-0.5,-0.6309297535714575
q20211,0.25,0.43067655807339306,0.0,0.0,-0.25,-0.43067655807339306
q20212,0.3333333333333333,0.5,0.0,0.0,-0.3333333333333333,-0.5
q20213,0.0022988505747126436,0.11404869730831545,0.0,0.0,-0.0022988505747126436,-0.11404869730831545
q20214,1.0,1.0,0.0,0.0,-1.0,-1.0
q20215,0.125,0.31546487678572877,0.017241379310344827,0.16999161628691403,-0.10775862068965517,-0.14547326049881473
q20216,0.09090909090909091,0.27894294565112987,0.0,0.0,-0.09090909090909091,-0.27894294565112987
q20217,1.0,1.0,0.02564102564102564,0.18790182470910757,-0.9743589743589743,-0.8120981752908925
q20218,1.0,1.0,0.0,0.0,-1.0,-1.0
q20219,0.125,0.31546487678572877,0.015384615384615385,0.16544255391905832,-0.10961538461538461,-0.15002232286667044
q20220,0.03333333333333333,0.20184908658209985,0.0,0.0,-0.03333333333333333,-0.20184908658209985
q20221,0.04,0.21274605355336318,0.0,0.0,-0.04,-0.21274605355336318
q20222,0.043478260869565216,0.21810429198553155,0.010869565217391304,0.15292486830283214,-0.03260869565217391,-0.06517942368269941
q20223,0.125,0.31546487678572877,0.0,0.0,-0.125,-0.31546487678572877
